State_UT,District,Households_Surveyed,Women_Interviewed_15_49yrs,Men_Interviewed_15_54yrs,Sex_Ratio_per_1000_males,Children_Under5_Stunted_pct,Children_Under5_Wasted_pct,Children_Under5_Underweight_pct,Children_Under5_Overweight_pct,Anaemia_Children_6_59months_pct,Anaemia_Women_15_49yrs_pct,Anaemia_Men_15_49yrs_pct,Institutional_Births_pct,Skilled_Birth_Attendant_pct,Full_Immunisation_12_23months_pct,Contraceptive_Prevalence_Rate_pct,Unmet_Need_Family_Planning_pct,Total_Fertility_Rate,Women_BMI_Below_Normal_pct,Men_BMI_Below_Normal_pct,Women_Hypertension_pct,Men_Hypertension_pct,Women_Diabetes_pct,Men_Diabetes_pct,Households_Improved_Drinking_Water_pct,Households_Improved_Sanitation_pct,Households_Electricity_pct,Women_Secondary_Education_pct,Child_Marriage_Women_pct
Delhi,North East Delhi,35678,34123,14823,885,25.2,9.8,22.4,4.6,56.8,45.2,16.4,97.6,98.2,91.8,63.4,8.6,1.6,16.2,12.6,34.2,29.9,13.4,15.0,98.4,97.6,100.0,70.1,12.6
Delhi,North West Delhi,38923,37456,16234,878,24.6,9.4,21.8,4.9,55.8,44.4,15.9,98.0,98.5,92.4,64.0,8.3,1.6,15.8,12.2,33.7,29.5,13.1,14.7,98.6,98.0,100.0,71.2,11.9
Delhi,Shahdara,33245,31867,13823,883,24.9,9.6,22.1,4.7,56.2,44.8,16.2,97.8,98.3,92.1,63.7,8.4,1.6,15.9,12.4,33.9,29.7,13.2,14.8,98.5,97.8,100.0,70.6,12.2
Delhi,South Delhi,26789,25634,11123,874,22.6,8.1,19.8,5.4,52.8,41.4,14.2,98.9,99.4,94.2,65.2,7.5,1.4,14.3,10.8,32.2,28.1,12.0,13.5,99.3,98.9,100.0,73.6,9.3
Delhi,South East Delhi,29456,28234,12256,877,23.2,8.6,20.6,5.1,54.0,42.7,14.9,98.5,99.0,93.2,64.6,7.9,1.5,14.9,11.3,32.9,28.7,12.4,13.9,99.0,98.5,100.0,72.2,10.4
Delhi,South West Delhi,30234,29012,12589,875,22.9,8.3,20.2,5.3,53.2,41.8,14.5,98.7,99.2,93.8,64.9,7.7,1.5,14.6,11.0,32.5,28.4,12.2,13.7,99.2,98.7,100.0,72.8,9.8
Delhi,West Delhi,34567,33123,14389,881,24.4,9.2,21.6,5.0,55.4,43.9,15.7,98.1,98.6,92.6,64.1,8.2,1.5,15.6,12.0,33.5,29.3,12.9,14.5,98.7,98.2,100.0,71.4,11.6
Gujarat,Ahmedabad,52345,49234,21456,921,26.4,11.2,23.8,4.8,61.2,49.6,18.2,95.8,96.4,87.6,62.4,8.9,1.7,17.1,13.4,27.8,25.6,10.6,11.9,97.4,95.8,99.8,65.8,23.4
Gujarat,Amreli,24567,23234,10123,951,29.8,13.6,27.2,3.9,65.4,53.8,21.4,93.2,94.1,84.8,60.8,10.2,1.9,19.6,15.8,25.6,23.4,9.4,10.6,95.6,93.2,99.4,61.4,27.8
Gujarat,Anand,28934,27234,11823,935,27.6,12.2,25.2,4.4,63.8,51.8,19.8,94.8,95.6,86.4,61.8,9.4,1.8,18.2,14.4,26.8,24.6,10.0,11.2,96.8,94.8,99.6,64.2,25.2
Gujarat,Aravalli,21234,20123,8756,948,30.4,14.2,27.8,3.7,66.2,54.6,22.1,92.6,93.5,84.1,60.2,10.6,1.9,20.2,16.4,25.0,22.8,9.0,10.2,94.8,92.4,99.2,59.8,29.1
Gujarat,Banaskantha,31245,29567,12834,956,31.6,15.1,29.2,3.5,67.4,55.8,23.2,91.8,92.7,83.2,59.4,11.1,2.0,21.1,17.2,24.2,22.1,8.6,9.8,93.8,91.2,99.0,57.8,31.2
Gujarat,Bharuch,27834,26234,11423,940,28.8,12.8,26.4,4.2,64.6,52.8,20.6,94.2,95.0,85.6,61.2,9.8,1.8,18.9,15.1,26.2,24.0,9.7,10.9,96.2,94.2,99.5,62.8,26.4
Gujarat,Bhavnagar,30123,28456,12345,946,29.2,13.2,26.8,4.0,65.0,53.2,21.0,93.6,94.4,85.0,61.0,10.0,1.9,19.3,15.5,25.8,23.6,9.5,10.7,95.8,93.6,99.3,62.0,27.2
Himachal Pradesh,Bilaspur,14523,13867,6123,960,26.4,8.6,22.8,4.1,54.8,45.6,14.2,97.8,98.4,94.8,75.6,5.8,1.4,14.8,11.2,24.8,23.2,9.8,10.6,96.8,92.4,99.6,72.6,15.4
Himachal Pradesh,Chamba,16234,15456,6845,958,32.8,14.2,29.4,3.1,61.4,52.8,20.6,94.2,95.4,89.8,70.2,8.4,1.7,20.4,16.8,21.4,20.2,8.2,9.1,92.8,87.6,98.9,64.8,21.8
Himachal Pradesh,Hamirpur,12345,11789,5234,964,24.8,7.6,21.2,4.4,53.2,44.2,13.4,98.4,99.0,95.6,76.4,5.4,1.3,13.9,10.4,25.4,23.8,10.2,11.0,97.4,93.2,99.8,74.2,13.8
Himachal Pradesh,Kangra,28934,27567,12234,962,28.6,11.4,25.6,3.6,57.6,48.8,17.4,96.6,97.4,93.2,73.2,6.8,1.5,17.6,14.0,23.2,21.8,9.1,10.0,95.2,90.8,99.4,70.4,17.9
Himachal Pradesh,Kinnaur,8234,7823,3456,973,24.2,7.2,20.8,4.6,52.6,43.8,13.0,98.6,99.2,95.8,76.8,5.2,1.3,13.6,10.1,25.6,24.0,10.4,11.2,97.6,93.6,99.8,74.8,13.2
Himachal Pradesh,Kullu,18234,17345,7689,961,27.8,10.8,24.8,3.8,56.8,48.0,16.8,97.0,97.8,93.6,73.8,7.0,1.5,17.0,13.4,23.6,22.1,9.3,10.2,95.6,91.2,99.4,71.0,17.2
Jharkhand,Bokaro,24567,27234,9823,949,40.2,21.4,38.8,2.0,75.6,68.4,28.9,84.2,86.1,76.4,56.8,13.8,2.2,27.6,23.4,17.8,19.2,6.2,8.4,78.4,73.2,94.6,48.2,36.4
Jharkhand,Chatra,16234,18123,6534,946,43.8,24.1,42.4,1.7,78.4,71.2,31.8,80.6,82.8,72.8,53.4,15.8,2.5,30.4,26.2,16.2,17.8,5.6,7.6,74.2,68.6,91.8,43.4,41.8
Jharkhand,Deoghar,21345,23789,8589,948,42.6,23.2,41.2,1.8,77.2,70.0,30.6,81.8,84.0,74.0,54.6,15.2,2.4,29.2,25.0,17.0,18.6,5.9,8.0,76.0,70.8,93.2,45.8,39.2
Jharkhand,Dhanbad,28934,32123,11589,944,39.8,21.0,38.4,2.1,75.2,68.0,28.5,84.6,86.5,76.8,57.2,13.5,2.2,27.2,23.0,18.2,19.6,6.4,8.6,79.0,73.8,95.0,49.0,35.8
Jharkhand,Dumka,18923,21056,7589,951,44.6,24.9,43.2,1.6,79.2,72.0,32.6,79.8,82.0,72.0,52.6,16.2,2.6,31.2,27.0,15.8,17.4,5.4,7.4,73.4,67.8,91.2,42.6,43.0
Jharkhand,East Singhbhum,30234,33567,12234,946,39.4,20.6,38.0,2.2,74.8,67.6,28.1,85.0,86.9,77.2,57.6,13.2,2.1,26.8,22.6,18.6,20.0,6.6,8.8,79.6,74.4,95.4,49.8,35.2
Karnataka,Bagalkote,24567,23234,10123,963,31.4,15.8,29.6,3.2,67.6,57.2,23.8,89.6,91.2,80.4,65.4,9.8,1.8,20.8,16.8,22.4,21.4,8.8,9.8,91.2,86.8,99.2,58.4,28.6
Karnataka,Ballari,26789,25234,11012,961,32.6,16.4,30.8,3.0,68.8,58.4,24.9,88.4,90.1,79.2,64.2,10.4,1.9,21.6,17.6,21.8,20.8,8.4,9.4,90.4,85.8,99.0,56.8,30.2
Karnataka,Belagavi,32456,30678,13345,968,30.2,14.6,28.4,3.4,66.4,56.0,22.7,91.0,92.4,81.6,66.6,9.2,1.7,20.0,16.0,23.0,22.0,9.2,10.2,92.0,87.8,99.4,60.0,27.0
Karnataka,Bengaluru Rural,28234,26678,11578,958,28.8,13.4,27.0,3.7,64.8,54.6,21.4,92.4,93.8,83.0,67.8,8.6,1.6,19.2,15.2,24.2,23.2,9.8,10.8,93.2,89.4,99.6,62.8,24.8
Karnataka,Bengaluru Urban,52345,49234,21456,929,24.6,9.8,22.8,4.8,59.2,49.0,17.6,96.2,97.1,88.4,68.8,7.8,1.5,17.4,13.6,28.6,26.4,11.4,12.6,97.8,96.2,99.9,68.4,18.6
Karnataka,Bidar,22345,21078,9234,969,33.4,17.1,31.6,2.9,69.6,59.2,25.8,87.8,89.5,78.0,63.0,10.8,2.0,22.4,18.4,21.2,20.2,8.0,9.0,89.8,85.0,98.8,55.4,31.8
Karnataka,Chamarajanagara,18234,17234,7534,966,30.8,15.2,29.0,3.3,67.0,56.6,23.2,90.2,91.8,81.0,65.8,9.6,1.8,20.4,16.4,22.8,21.8,9.0,10.0,91.6,87.2,99.2,59.2,27.8
Kerala,Alappuzha,28934,27456,12234,1081,15.2,5.8,13.4,6.8,37.8,35.2,10.6,99.8,99.9,97.6,55.6,7.2,1.6,16.8,12.8,34.2,28.8,16.4,15.4,98.6,97.8,100.0,82.6,4.8
Kerala,Ernakulam,38234,36234,16123,1074,14.8,5.4,13.0,7.2,36.4,34.2,10.2,99.9,100.0,98.1,56.0,6.9,1.5,16.4,12.4,35.0,29.4,17.0,16.0,99.0,98.4,100.0,84.0,4.2
Kerala,Idukki,19234,18234,8123,1079,15.6,6.2,13.8,6.4,38.6,36.0,11.0,99.6,99.8,97.2,55.2,7.4,1.7,17.2,13.2,33.6,28.2,15.8,14.8,98.2,97.2,100.0,81.2,5.4
Kerala,Kannur,29456,27912,12434,1078,14.6,5.2,12.8,7.4,35.8,33.6,9.8,99.9,100.0,98.3,56.2,6.7,1.5,16.2,12.2,35.4,29.8,17.4,16.4,99.2,98.6,100.0,84.6,3.8
Kerala,Kasaragod,22345,21234,9423,1082,15.8,6.4,14.0,6.2,38.9,36.2,11.2,99.5,99.7,97.0,54.9,7.5,1.7,17.4,13.4,33.2,27.8,15.4,14.4,97.9,96.9,100.0,80.8,5.8
Kerala,Kollam,32456,30789,13678,1077,15.4,6.0,13.6,6.6,37.6,35.0,10.8,99.7,99.9,97.8,55.4,7.3,1.6,17.0,13.0,34.6,29.2,16.8,15.8,98.8,98.1,100.0,83.4,4.4
Kerala,Kottayam,27234,25789,11478,1076,14.2,5.0,12.6,7.6,35.2,33.2,9.6,99.9,100.0,98.5,56.4,6.5,1.4,16.0,12.0,35.8,30.2,17.8,16.8,99.4,98.8,100.0,85.2,3.4
Kerala,Kozhikode,34567,32678,14523,1079,15.2,5.8,13.4,6.8,37.1,34.8,10.5,99.8,99.9,97.7,55.7,7.1,1.6,16.7,12.7,34.4,29.0,16.6,15.6,98.7,97.9,100.0,82.9,4.6
Kerala,Malappuram,38945,36978,16434,1088,16.4,7.0,14.6,5.8,40.2,37.4,12.0,99.2,99.4,96.4,54.2,8.0,1.8,18.2,14.2,32.2,26.8,14.6,13.6,97.4,96.1,100.0,79.0,6.8
Kerala,Palakkad,31234,29567,13134,1075,15.8,6.4,14.0,6.4,38.4,35.6,10.9,99.6,99.8,97.4,55.1,7.4,1.7,17.4,13.4,33.8,28.4,16.2,15.2,98.4,97.6,100.0,81.6,5.2
Kerala,Pathanamthitta,20234,19234,8534,1073,14.6,5.4,13.0,7.0,36.6,34.4,10.4,99.9,100.0,97.9,55.8,7.0,1.5,16.6,12.6,34.8,29.4,17.2,16.2,99.1,98.5,100.0,83.8,4.0
Kerala,Thiruvananthapuram,42345,40123,17823,1076,14.8,5.6,13.2,7.0,37.2,34.6,10.7,99.8,100.0,97.8,55.6,7.1,1.5,16.5,12.5,34.9,29.3,17.1,16.1,99.0,98.3,100.0,83.2,4.3
Kerala,Thrissur,36234,34234,15223,1074,14.4,5.2,12.8,7.4,36.0,33.8,10.0,99.9,100.0,98.2,56.1,6.8,1.5,16.3,12.3,35.2,29.6,17.5,16.5,99.3,98.7,100.0,84.4,3.6
Kerala,Wayanad,21234,20123,8934,1080,15.0,5.6,13.2,6.8,37.4,34.9,10.5,99.7,99.9,97.5,55.3,7.2,1.6,16.8,12.8,33.9,28.5,16.0,15.0,98.5,97.5,100.0,82.0,5.0
Madhya Pradesh,Agar Malwa,16234,18234,6545,944,41.8,22.1,40.4,1.8,76.8,69.6,29.6,79.6,81.8,72.4,54.8,15.4,2.4,29.8,25.6,16.8,18.4,5.8,7.8,72.8,67.2,90.4,43.8,42.4
Madhya Pradesh,Alirajpur,14523,16234,5834,941,46.2,26.4,44.8,1.4,81.4,74.2,34.6,73.2,75.8,66.2,49.8,18.4,2.9,34.8,30.4,14.2,16.0,4.6,6.6,65.8,59.4,86.8,36.4,50.2
Madhya Pradesh,Anuppur,17234,19345,6934,947,43.2,23.4,41.8,1.7,78.2,71.0,31.2,78.0,80.2,70.8,53.2,16.2,2.6,31.4,27.2,16.0,17.6,5.4,7.4,70.8,65.2,89.2,41.4,44.8
Madhya Pradesh,Ashoknagar,18456,20678,7423,943,42.4,22.8,41.0,1.8,77.4,70.2,30.4,79.2,81.4,71.8,54.0,15.8,2.5,30.6,26.4,16.4,18.0,5.6,7.6,71.8,66.2,89.8,42.6,43.6
Madhya Pradesh,Balaghat,22345,25012,9012,952,40.6,21.2,39.2,2.0,75.6,68.4,28.8,81.2,83.4,73.6,55.6,14.8,2.3,28.8,24.6,17.4,19.0,6.0,8.1,74.4,68.8,91.6,45.2,40.6
Madhya Pradesh,Barwani,18923,21234,7623,942,45.4,25.6,44.0,1.5,80.6,73.4,33.8,74.8,77.2,67.6,51.4,17.6,2.8,33.6,29.2,14.8,16.6,5.0,7.0,67.4,61.2,88.0,38.8,48.6
Maharashtra,Ahmednagar,38234,36234,15823,942,26.4,11.2,24.6,4.2,62.8,52.4,20.2,94.8,95.6,86.2,64.8,9.2,1.7,18.8,15.0,25.4,24.0,9.8,11.0,95.4,92.8,99.6,63.2,24.2
Maharashtra,Akola,26789,25234,11012,940,27.6,12.1,25.8,4.0,64.2,53.8,21.4,93.6,94.5,85.0,63.6,9.8,1.8,19.6,15.8,24.8,23.4,9.4,10.6,94.6,91.8,99.4,61.6,26.1
Maharashtra,Amravati,28934,27345,11934,941,27.2,11.8,25.4,4.1,63.8,53.4,21.0,94.0,94.9,85.4,64.0,9.6,1.8,19.2,15.4,25.0,23.6,9.6,10.8,95.0,92.2,99.5,62.2,25.4
Maharashtra,Aurangabad,32456,30678,13345,943,25.8,10.6,24.0,4.4,61.6,51.2,19.4,95.4,96.2,87.0,65.4,8.8,1.7,18.4,14.6,26.0,24.6,10.2,11.4,96.0,93.4,99.7,64.8,22.8
Maharashtra,Beed,24567,23234,10123,944,26.8,11.6,25.2,4.1,63.0,52.6,20.6,94.4,95.2,85.8,64.2,9.4,1.8,19.0,15.2,25.2,23.8,9.7,10.9,95.2,92.4,99.5,62.6,25.0
Maharashtra,Bhandara,22345,21234,9234,948,25.2,10.2,23.4,4.6,61.0,50.8,19.0,95.8,96.6,87.4,65.8,8.6,1.7,18.2,14.4,26.4,25.0,10.4,11.6,96.4,93.8,99.7,65.4,22.4
Maharashtra,Buldhana,25678,24234,10578,941,27.0,11.9,25.6,4.1,63.6,53.2,20.8,94.2,95.0,85.6,63.8,9.5,1.8,19.4,15.6,25.1,23.7,9.5,10.7,94.8,92.0,99.4,62.0,25.6
Punjab,Amritsar,38234,36234,15823,893,24.8,7.2,20.4,5.8,52.6,41.8,14.8,98.4,99.0,93.8,67.8,6.4,1.4,15.2,11.6,34.2,29.6,14.8,15.6,99.2,97.8,99.9,72.4,11.2
Punjab,Barnala,21234,20123,8734,892,23.6,6.8,19.8,6.0,51.4,40.6,13.8,98.8,99.3,94.2,68.4,6.1,1.3,14.8,11.2,34.8,30.2,15.2,16.0,99.4,98.1,99.9,73.2,10.4
Punjab,Bathinda,32456,30678,13345,895,25.4,7.8,21.2,5.4,53.8,42.9,15.6,97.9,98.6,93.2,67.1,6.8,1.5,15.7,12.1,33.6,29.0,14.4,15.2,98.9,97.3,99.9,71.6,12.0
Punjab,Faridkot,19234,18234,7923,890,24.2,7.0,20.0,5.9,52.1,41.2,14.3,98.6,99.1,94.0,68.1,6.3,1.4,15.0,11.4,34.5,29.9,15.0,15.8,99.3,98.0,99.9,72.8,10.8
Punjab,Fatehgarh Sahib,17234,16345,7123,891,23.2,6.6,19.4,6.2,51.0,40.2,13.4,99.0,99.5,94.6,68.8,5.9,1.3,14.6,11.0,35.2,30.6,15.6,16.4,99.5,98.3,100.0,73.8,10.0
Punjab,Fazilka,24567,23234,10123,896,25.8,8.2,21.6,5.2,54.4,43.4,16.0,97.6,98.3,92.8,66.8,7.0,1.5,16.0,12.4,33.2,28.6,14.0,14.8,98.6,97.0,99.8,71.0,12.8
Punjab,Firozpur,26789,25234,11012,895,25.6,8.0,21.4,5.3,54.0,43.0,15.8,97.8,98.5,93.0,67.0,6.9,1.5,15.8,12.2,33.4,28.8,14.2,15.0,98.7,97.2,99.8,71.2,12.5
Rajasthan,Ajmer,34567,32678,14234,920,34.8,17.4,32.6,2.8,70.2,61.8,25.4,86.4,88.2,78.6,61.2,11.2,2.0,24.2,20.2,22.4,21.4,8.4,9.6,89.6,84.2,98.8,55.6,34.8
Rajasthan,Alwar,38234,36234,15823,916,37.2,19.2,35.4,2.4,72.8,64.4,27.8,83.6,85.6,76.0,58.6,12.4,2.2,26.6,22.4,20.6,19.8,7.6,8.8,87.2,81.2,98.4,51.4,38.8
Rajasthan,Banswara,24567,23234,10123,921,39.8,21.4,38.2,2.0,75.4,67.2,29.8,80.4,82.6,73.0,55.8,13.8,2.4,29.2,25.0,18.6,17.9,6.4,7.8,83.8,77.4,97.8,46.8,44.2
Rajasthan,Baran,21234,20123,8756,918,38.4,20.2,36.8,2.2,73.8,65.6,28.4,82.0,84.2,74.4,57.2,13.2,2.3,27.8,23.6,19.8,19.0,7.0,8.2,85.2,79.0,98.0,48.8,42.4
Rajasthan,Barmer,28934,27345,11934,917,40.6,22.1,39.2,1.9,76.2,68.0,30.6,79.2,81.4,72.0,54.6,14.4,2.5,30.0,25.8,18.0,17.3,6.2,7.5,82.4,76.0,97.6,45.4,46.0
Rajasthan,Bharatpur,32456,30678,13345,915,38.8,20.6,37.2,2.2,74.2,66.0,28.8,81.6,83.8,74.0,56.8,13.4,2.3,28.2,24.0,19.4,18.6,6.8,8.0,84.6,78.2,97.9,48.0,43.2
Tamil Nadu,Ariyalur,24567,23234,10123,977,21.4,6.8,18.8,5.2,52.4,43.6,15.8,98.6,99.2,92.8,72.4,7.2,1.5,15.8,12.2,24.8,23.6,10.2,11.2,97.2,94.8,99.8,71.8,17.6
Tamil Nadu,Chennai,52345,49234,21456,960,16.8,4.8,14.8,6.8,46.2,37.8,12.8,99.4,99.8,96.2,68.4,5.8,1.3,13.6,10.2,32.4,27.8,14.8,15.6,99.6,99.2,100.0,80.4,8.4
Tamil Nadu,Coimbatore,42345,40123,17456,970,18.2,5.4,16.2,6.4,48.6,39.8,13.6,99.2,99.6,95.6,71.2,6.2,1.4,14.4,11.0,30.8,26.4,13.8,14.8,99.4,99.0,100.0,78.6,10.2
